hotel,arrival_date_year,arrival_date_month,stays_in_week_nights,stays_in_weekend_nights,meal,Meal_cost,country,market_segment,daily_rate_per_night,required_car_parking_spaces,Revenue
City Hotel,2020,June,4,2,BB,$12.99 ,PRT,Aviation,$110.00 ,0,"$1,714.68 "
City Hotel,2020,May,2,1,BB,$12.99 ,HRV,Aviation,$135.00 ,0,"$1,052.19 "
City Hotel,2020,May,1,0,BB,$12.99 ,PRT,Aviation,$110.00 ,0,$285.78 
City Hotel,2020,April,3,0,BB,$12.99 ,PRT,Aviation,$110.00 ,0,$857.34 
City Hotel,2020,June,2,0,BB,$12.99 ,PRT,Aviation,$110.00 ,0,$571.56 
City Hotel,2020,April,3,2,BB,$12.99 ,GBR,Aviation,$95.00 ,0,"$1,234.05 "
City Hotel,2020,April,3,2,BB,$12.99 ,GRC,Aviation,$95.00 ,0,"$1,234.05 "
City Hotel,2020,April,3,2,BB,$12.99 ,PRT,Aviation,$95.00 ,0,"$1,234.05 "
City Hotel,2020,April,9,4,BB,$12.99 ,GRC,Aviation,$110.00 ,0,"$3,715.14 "
City Hotel,2020,April,9,4,BB,$12.99 ,LKA,Aviation,$119.00 ,0,"$4,019.11 "
City Hotel,2020,April,9,4,BB,$12.99 ,PRT,Aviation,$110.00 ,0,"$3,715.14 "
City Hotel,2020,May,2,1,BB,$12.99 ,FRA,Aviation,$95.00 ,0,$740.43 
City Hotel,2020,May,2,1,BB,$12.99 ,GRC,Aviation,$95.00 ,0,$740.43 
City Hotel,2020,May,3,0,BB,$12.99 ,DZA,Aviation,$110.00 ,0,$857.34 
City Hotel,2020,July,8,3,BB,$12.99 ,ITA,Aviation,$95.00 ,0,"$2,714.91 "
City Hotel,2020,May,8,3,BB,$12.99 ,AUS,Aviation,$110.00 ,0,"$3,143.58 "
City Hotel,2020,August,2,0,BB,$12.99 ,PRT,Aviation,$80.00 ,0,$415.68 
City Hotel,2020,June,0,1,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,June,2,2,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$987.24 
City Hotel,2020,June,1,1,BB,$12.99 ,GBR,Aviation,$95.00 ,0,$493.62 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$246.81 
City Hotel,2019,April,1,0,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$246.81 
City Hotel,2019,May,1,0,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,February,0,0,BB,$12.99 ,AUT,Aviation,$0.00 ,0,$0.00 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Aviation,$144.00 ,0,$374.11 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Aviation,$144.00 ,0,$374.11 
City Hotel,2020,June,1,2,BB,$12.99 ,ITA,Aviation,$110.00 ,0,$857.34 
City Hotel,2020,May,1,0,BB,$12.99 ,AUT,Aviation,$95.00 ,0,$246.81 
City Hotel,2019,May,0,1,BB,$12.99 ,PRT,Aviation,$110.00 ,0,$285.78 
City Hotel,2020,January,3,2,BB,$12.99 ,BEL,Aviation,$79.00 ,0,"$1,026.21 "
City Hotel,2020,June,1,2,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$740.43 
City Hotel,2019,May,6,4,BB,$12.99 ,PRT,Aviation,$110.00 ,0,"$2,857.80 "
City Hotel,2020,April,3,1,BB,$12.99 ,PRT,Aviation,$103.50 ,0,"$1,075.57 "
City Hotel,2020,April,3,1,BB,$12.99 ,PRT,Aviation,$126.00 ,0,"$1,309.39 "
City Hotel,2020,June,5,2,BB,$12.99 ,PRT,Aviation,$95.00 ,0,"$1,727.67 "
City Hotel,2020,March,2,0,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$493.62 
City Hotel,2020,April,1,2,BB,$12.99 ,DZA,Aviation,$110.00 ,0,$857.34 
City Hotel,2020,June,2,2,BB,$12.99 ,PRT,Aviation,$110.00 ,0,"$1,143.12 "
City Hotel,2019,September,0,1,BB,$12.99 ,PRT,Aviation,$110.00 ,0,$285.78 
City Hotel,2019,September,1,1,BB,$12.99 ,PRT,Aviation,$110.00 ,0,$571.56 
City Hotel,2020,July,0,2,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$493.62 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Aviation,$95.00 ,0,$246.81 
City Hotel,2020,June,2,2,BB,$12.99 ,PRT,Aviation,$110.00 ,0,"$1,143.12 "
City Hotel,2019,May,10,5,BB,$12.99 ,PRT,Aviation,$95.00 ,0,"$3,702.15 "
City Hotel,2019,May,1,0,BB,$12.99 ,ESP,Aviation,$110.00 ,0,$285.78 
City Hotel,2019,May,1,0,BB,$12.99 ,ESP,Aviation,$110.00 ,0,$285.78 
City Hotel,2018,August,0,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,0,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,1,0,BB,$12.99 ,AGO,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,7,2,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,HB,$17.99 ,PRT,Complementary,$0.00 ,1,$0.00 
City Hotel,2018,December,0,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,0,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,SC,$35.00 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,SC,$35.00 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,July,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,July,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,November,0,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,November,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,November,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,November,0,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,November,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,October,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,October,1,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,October,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,0,2,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,2,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,3,2,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,1,BB,$12.99 ,PRT,Complementary,$170.00 ,0,"$4,416.60 "
City Hotel,2018,September,0,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,April,1,1,BB,$12.99 ,PRT,Complementary,$9.00 ,0,$233.82 
City Hotel,2020,April,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,1,$0.00 
City Hotel,2020,April,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,1,$0.00 
City Hotel,2020,August,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,August,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,August,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,August,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,February,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,February,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,February,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,February,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,February,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,February,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,February,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,January,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,January,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,1,$0.00 
City Hotel,2020,January,7,2,BB,$12.99 ,BRA,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,January,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,1,$0.00 
City Hotel,2020,January,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,January,1,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,January,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,July,0,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,July,0,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,March,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,March,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,March,0,1,BB,$12.99 ,BRA,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,March,1,0,FB,$21.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,March,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,March,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,March,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,May,0,0,SC,$35.00 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,May,0,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,May,0,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,May,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,May,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,2,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,July,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,July,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,November,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,November,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,November,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,October,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,October,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,October,0,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,April,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,April,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,April,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,April,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,August,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,August,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,February,2,0,FB,$21.99 ,PRT,Complementary,$0.00 ,1,$0.00 
City Hotel,2020,February,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,February,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,February,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,February,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,July,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,June,1,0,SC,$35.00 ,PRT,Complementary,$0.00 ,1,$0.00 
City Hotel,2020,March,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,March,1,0,BB,$12.99 ,FRA,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,May,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,0,1,BB,$12.99 ,AGO,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,0,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,November,2,1,BB,$12.99 ,USA,Complementary,$79.00 ,0,"$3,078.63 "
City Hotel,2018,October,1,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,October,2,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,October,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,April,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,April,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,February,1,1,BB,$12.99 ,HUN,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,July,0,2,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,May,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,0,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,0,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,November,1,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,October,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,October,1,1,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,September,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,April,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,April,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,January,0,2,HB,$17.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,June,0,1,SC,$35.00 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,March,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,1,2,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,December,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,November,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,1,$0.00 
City Hotel,2020,April,2,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,July,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,June,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,May,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2020,May,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
City Hotel,2018,August,1,0,BB,$12.99 ,PRT,Complementary,$0.00 ,0,$0.00 
